,time,x_err,x_tgt,x_ego,u,u_t
0,0.0,0.0,10.0,0.0,0.0,
1,0.5,1.25,11.25,0.0,,0.0
2,1.0,,12.9375,,0.0,537.5
3,1.5,,15.0625,,537.5,
4,2.0,,17.625,,,
5,2.5,,20.625,,,
6,3.0,,24.0625,,,
7,3.5,,27.9375,,,
8,4.0,,32.25,,,
9,4.5,,37.0,,,
10,5.0,,42.1875,,,
11,5.5,,47.8125,,,
12,6.0,,53.875,,,
13,6.5,,60.375,,,
14,7.0,,67.3125,,,
15,7.5,,74.6875,,,
16,8.0,,82.5,,,
17,8.5,,90.75,,,
18,9.0,,99.4375,,,
19,9.5,,108.5625,,,
20,10.0,,118.125,,,
21,10.5,,128.125,,,
22,11.0,,138.5625,,,
23,11.5,,149.4375,,,
24,12.0,,160.75,,,
25,12.5,,172.5,,,
26,13.0,,184.6875,,,
27,13.5,,197.3125,,,
28,14.0,,210.375,,,
29,14.5,,223.875,,,
30,15.0,,237.8125,,,
31,15.5,,252.1875,,,
32,16.0,,267.0,,,
33,16.5,,282.25,,,
34,17.0,,297.9375,,,
35,17.5,,314.0625,,,
36,18.0,,330.625,,,
37,18.5,,347.625,,,
38,19.0,,365.0625,,,
39,19.5,,382.9375,,,
40,20.0,,401.25,,,
41,20.5,,420.0,,,
42,21.0,,438.5625,,,
43,21.5,,456.9375,,,
44,22.0,,475.125,,,
45,22.5,,493.125,,,
46,23.0,,510.9375,,,
47,23.5,,528.5625,,,
48,24.0,,546.0,,,
49,24.5,,563.25,,,
50,25.0,,580.3125,,,
51,25.5,,597.1875,,,
52,26.0,,613.875,,,
53,26.5,,630.375,,,
54,27.0,,646.6875,,,
55,27.5,,662.8125,,,
56,28.0,,678.75,,,
57,28.5,,694.5,,,
58,29.0,,710.0625,,,
59,29.5,,725.4375,,,
60,30.0,,740.625,,,
61,30.5,,755.625,,,
62,31.0,,770.4375,,,
63,31.5,,785.0625,,,
64,32.0,,799.5,,,
65,32.5,,813.75,,,
66,33.0,,827.8125,,,
67,33.5,,841.6875,,,
68,34.0,,855.375,,,
69,34.5,,868.875,,,
70,35.0,,882.1875,,,
71,35.5,,895.3125,,,
72,36.0,,908.25,,,
73,36.5,,921.0,,,
74,37.0,,933.5625,,,
75,37.5,,945.9375,,,
76,38.0,,958.125,,,
77,38.5,,970.125,,,
78,39.0,,981.9375,,,
79,39.5,,993.5625,,,
80,40.0,,1005.0,,,
81,40.5,,1016.25,,,
82,41.0,,1027.625,,,
83,41.5,,1039.125,,,
84,42.0,,1050.75,,,
85,42.5,,1062.5,,,
86,43.0,,1074.375,,,
87,43.5,,1086.375,,,
88,44.0,,1098.5,,,
89,44.5,,1110.75,,,
90,45.0,,1123.125,,,
91,45.5,,1135.625,,,
92,46.0,,1148.25,,,
93,46.5,,1161.0,,,
94,47.0,,1173.875,,,
95,47.5,,1186.875,,,
96,48.0,,1200.0,,,
97,48.5,,1213.25,,,
98,49.0,,1226.625,,,
99,49.5,,1240.125,,,
100,50.0,,1253.75,,,
101,50.5,,1267.5,,,
102,51.0,,1281.375,,,
103,51.5,,1295.375,,,
104,52.0,,1309.5,,,
105,52.5,,1323.75,,,
106,53.0,,1338.125,,,
107,53.5,,1352.625,,,
108,54.0,,1367.25,,,
109,54.5,,1382.0,,,
110,55.0,,1396.875,,,
111,55.5,,1411.875,,,
112,56.0,,1427.0,,,
113,56.5,,1442.25,,,
114,57.0,,1457.625,,,
115,57.5,,1473.125,,,
116,58.0,,1488.75,,,
117,58.5,,1504.5,,,
118,59.0,,1520.375,,,
119,59.5,,1536.375,,,
120,60.0,,1552.5,,,
121,60.5,,1568.75,,,
122,61.0,,1584.1875,,,
123,61.5,,1598.8125,,,
124,62.0,,1612.625,,,
125,62.5,,1625.625,,,
126,63.0,,1637.8125,,,
127,63.5,,1649.1875,,,
128,64.0,,1659.75,,,
129,64.5,,1669.5,,,
130,65.0,,1678.4375,,,
131,65.5,,1686.5625,,,
132,66.0,,1693.875,,,
133,66.5,,1700.375,,,
134,67.0,,1706.0625,,,
135,67.5,,1710.9375,,,
136,68.0,,1715.0,,,
137,68.5,,1718.25,,,
138,69.0,,1720.6875,,,
139,69.5,,1722.3125,,,
140,70.0,,1723.125,,,
